Date, Close/Last, Volume, Open, High, Low
04/06/2020, $14.23, 413074, $14.22, $14.805, $13.71
04/03/2020, $13.96, 146939, $14.99, $15.11, $13.92
04/02/2020, $14.9, 170792, $15.4, $15.87, $14.62
04/01/2020, $15.72, 189410, $15.95, $16.38, $15.3589
03/31/2020, $16.15, 237966, $17.82, $17.85, $16.02
03/30/2020, $17.09, 380166, $16.26, $17.935, $15.96
03/27/2020, $15.51, 260382, $14.04, $15.75, $13.6044
03/26/2020, $14.24, 247461, $14.81, $15.3884, $14.02
03/25/2020, $14.74, 181309, $15.05, $15.67, $14.58
03/24/2020, $14.99, 150098, $14.6, $15.13, $13.93
03/23/2020, $14.1, 269179, $15.93, $16.68, $14.05
03/20/2020, $15.46, 272826, $15.34, $16.74, $15.34
03/19/2020, $15.17, 247405, $16.62, $18.1526, $14.91
03/18/2020, $16.17, 340283, $15.13, $16.67, $14.92
03/17/2020, $15.63, 189046, $14.35, $16.1, $14.08
03/16/2020, $14.07, 195670, $15.47, $16, $14.005
03/13/2020, $16.78, 278344, $16.21, $17.1, $15.61
03/12/2020, $15.71, 200325, $16.4, $17.55, $15.67
03/11/2020, $17.33, 143620, $18.43, $18.5, $16.92
03/10/2020, $18.83, 337114, $19.62, $19.94, $18.23
03/09/2020, $19.3, 176194, $20.03, $20.32, $19.1
03/06/2020, $20.6, 153946, $20.49, $20.94, $20.17
03/05/2020, $20.9, 161164, $20.35, $21.12, $20.24
03/04/2020, $20.3, 182311, $19.7, $20.37, $19.45
03/03/2020, $19.55, 200297, $20.23, $20.4, $19.33
03/02/2020, $20.3, 167323, $21.25, $21.377, $20.08
02/28/2020, $21.15, 192684, $20.5, $21.19, $20.5
02/27/2020, $20.83, 202694, $21.09, $21.5, $20.64
02/26/2020, $21.1, 186770, $20.48, $21.23, $20.32
02/25/2020, $20.31, 204501, $20.5, $20.7, $20.19
02/24/2020, $20.53, 137458, $21.45, $21.56, $20.37
02/21/2020, $21.9, 182671, $21.94, $22.02, $21.33
02/20/2020, $22.2, 359704, $24.5, $25, $21.25
02/19/2020, $25, 153271, $24.46, $25.46, $24.46
02/18/2020, $24.42, 44280, $24.55, $24.82, $24.41
02/14/2020, $24.55, 63738, $24.82, $24.82, $24.45
02/13/2020, $24.75, 38514, $24.52, $24.76, $24.38
02/12/2020, $24.41, 51950, $24.77, $24.77, $24.31
02/11/2020, $24.73, 77752, $24.56, $24.895, $24.43
02/10/2020, $24.53, 58786, $23.85, $24.56, $23.85
02/07/2020, $23.91, 45460, $24.4, $24.43, $23.74
02/06/2020, $24.55, 51495, $24.55, $24.66, $24.3
02/05/2020, $24.37, 115660, $24.57, $24.67, $23.825
02/04/2020, $24.36, 89535, $24.13, $24.53, $23.89
