Date, Open, High, Low, Close
04/06/20, 2478.99, 2478.99, 2478.99, 2478.99
04/03/20, 2364.51, 2364.51, 2364.51, 2364.51
04/02/20, 2399.95, 2399.95, 2399.95, 2399.95
04/01/20, 2368.59, 2368.59, 2368.59, 2368.59
03/31/20, 2465.47, 2465.47, 2465.47, 2465.47
03/30/20, 2473.22, 2473.22, 2473.22, 2473.22
03/27/20, 2439.48, 2439.48, 2439.48, 2439.48
03/26/20, 2502.36, 2502.36, 2502.36, 2502.36
03/25/20, 2403.47, 2403.47, 2403.47, 2403.47
03/24/20, 2328.15, 2328.15, 2328.15, 2328.15
03/23/20, 2138.97, 2138.97, 2138.97, 2138.97
03/20/20, 2207.64, 2207.64, 2207.64, 2207.64
03/19/20, 2237.13, 2237.13, 2237.13, 2237.13
03/18/20, 2224.01, 2224.01, 2224.01, 2224.01
03/17/20, 2343.46, 2343.46, 2343.46, 2343.46
03/16/20, 2267.87, 2267.87, 2267.87, 2267.87
03/13/20, 2367.31, 2479.57, 2330.12, 2470.65
03/12/20, 2360.35, 2360.35, 2360.35, 2360.35
03/11/20, 2632.36, 2632.36, 2632.36, 2632.36
03/10/20, 2718.34, 2718.34, 2718.34, 2718.34
03/09/20, 2663.01, 2663.01, 2663.01, 2663.01
03/06/20, 2883.58, 2883.58, 2883.58, 2883.58
03/05/20, 2946.68, 2946.68, 2946.68, 2946.68
03/04/20, 3006.28, 3006.28, 3006.28, 3006.28
03/03/20, 2937.50, 2937.50, 2937.50, 2937.50
03/02/20, 2970.10, 2970.10, 2970.10, 2970.10
02/28/20, 2895.72, 2895.72, 2895.72, 2895.72
02/27/20, 2960.73, 2960.73, 2960.73, 2960.73
02/26/20, 3053.27, 3053.27, 3053.27, 3053.27
02/25/20, 3068.80, 3068.80, 3068.80, 3068.80
02/24/20, 3141.59, 3141.59, 3141.59, 3141.59
02/21/20, 3239.00, 3239.00, 3239.00, 3239.00
02/20/20, 3251.23, 3251.23, 3251.23, 3251.23
02/19/20, 3269.40, 3269.40, 3269.40, 3269.40
02/18/20, 3260.24, 3260.24, 3260.24, 3260.24
02/17/20, 3278.76, 3278.76, 3278.76, 3278.76
02/14/20, 3277.05, 3277.05, 3277.05, 3277.05
02/13/20, 3281.85, 3281.85, 3281.85, 3281.85
02/12/20, 3295.00, 3295.00, 3295.00, 3295.00
02/11/20, 3271.44, 3271.44, 3271.44, 3271.44
02/10/20, 3253.98, 3253.98, 3253.98, 3253.98
02/07/20, 3254.48, 3254.48, 3254.48, 3254.48
02/06/20, 3270.67, 3270.67, 3270.67, 3270.67
02/05/20, 3244.59, 3244.59, 3244.59, 3244.59
02/04/20, 3209.68, 3209.68, 3209.68, 3209.68
02/03/20, 3163.69, 3163.69, 3163.69, 3163.69
01/31/20, 3160.86, 3160.86, 3160.86, 3160.86
01/30/20, 3196.73, 3196.73, 3196.73, 3196.73
01/29/20, 3215.04, 3215.04, 3215.04, 3215.04
01/28/20, 3215.24, 3215.24, 3215.24, 3215.24
01/27/20, 3199.44, 3199.44, 3199.44, 3199.44
01/24/20, 3253.62, 3253.62, 3253.62, 3253.62
01/23/20, 3263.55, 3263.55, 3263.55, 3263.55
01/22/20, 3275.98, 3275.98, 3275.98, 3275.98
01/21/20, 3281.71, 3281.71, 3281.71, 3281.71
01/20/20, 3298.52, 3298.52, 3298.52, 3298.52
01/17/20, 3300.22, 3300.22, 3300.22, 3300.22
01/16/20, 3284.86, 3284.86, 3284.86, 3284.86
01/15/20, 3273.39, 3273.39, 3273.39, 3273.39
01/14/20, 3275.60, 3275.60, 3275.60, 3275.60
01/13/20, 3272.59, 3272.59, 3272.59, 3272.59
01/10/20, 3260.57, 3260.57, 3260.57, 3260.57
01/09/20, 3267.80, 3267.80, 3267.80, 3267.80
01/08/20, 3253.04, 3253.04, 3253.04, 3253.04
